Title,First Name,Last Name,Side,Email,Phone,Dietary,Notes
Mrs.,Fatima,Rahman,BRIDE,fatima.rahman@email.com,+8801711100001,Halal,Bride's mother
Mr.,Karim,Rahman,BRIDE,karim.rahman@email.com,+8801711100002,Halal,Bride's father
Ms.,Nusrat,Hossain,BRIDE,nusrat.h@email.com,+8801811100003,,Maid of honor
Ms.,Sadia,Islam,BRIDE,sadia.islam@email.com,+8801911100004,Vegetarian,Bride's college friend
Ms.,Tania,Akter,BRIDE,tania.akter@email.com,+8801511100005,,Bride's cousin
Dr.,Afia,Chowdhury,BRIDE,afia.dr@email.com,+8801611100006,Gluten-free,Bride's aunt
Mrs.,Rehana,Begum,BRIDE,rehana.b@email.com,+8801711100007,Halal,Bride's grandmother
Ms.,Mim,Sultana,BRIDE,mim.s@email.com,+8801811100008,,Bride's school friend
Mrs.,Nasrin,Ahmed,BRIDE,nasrin.ahmed@email.com,+8801911100009,Vegetarian,Bride's neighbor
Ms.,Riya,Khan,BRIDE,riya.khan@email.com,+8801511100010,,Bride's colleague
Ms.,Puja,Dey,BRIDE,puja.dey@email.com,+8801611100011,,Bridesmaid
Mrs.,Shirin,Akter,BRIDE,shirin.akter@email.com,+8801711100012,Halal,Bride's aunt
Ms.,Lamia,Haque,BRIDE,lamia.haque@email.com,+8801811100013,,Bride's university friend
Ms.,Nadia,Parvin,BRIDE,nadia.p@email.com,+8801911100014,Vegetarian,Bride's cousin
Mrs.,Bilkis,Begum,BRIDE,bilkis.b@email.com,+8801511100015,Halal,Bride's great aunt
Ms.,Tahmina,Islam,BRIDE,tahmina.i@email.com,+8801611100016,,Bride's childhood friend
Ms.,Sumi,Khatun,BRIDE,sumi.k@email.com,+8801711100017,Gluten-free,Bride's office mate
Dr.,Sharmin,Alam,BRIDE,sharmin.dr@email.com,+8801811100018,,Bride's family doctor friend
Ms.,Runa,Laila,BRIDE,runa.l@email.com,+8801911100019,Halal,Bride's neighbor
Mrs.,Hasina,Begum,BRIDE,hasina.b@email.com,+8801511100020,,Bride's distant relative
Ms.,Mitu,Roy,BRIDE,mitu.roy@email.com,+8801611100021,Vegetarian,Bride's friend
Ms.,Poly,Das,BRIDE,poly.das@email.com,+8801711100022,,Bride's schoolmate
Mrs.,Asma,Khatun,BRIDE,asma.k@email.com,+8801811100023,Halal,Bride's relative
Ms.,Dipa,Saha,BRIDE,dipa.saha@email.com,+8801911100024,,Bride's colleague
Ms.,Rina,Begum,BRIDE,rina.b@email.com,+8801511100025,Halal,Bride's cousin
Dr.,Farhana,Chowdhury,BRIDE,farhana.dr@email.com,+8801611100026,Gluten-free,Bride's friend
Ms.,Anika,Rashid,BRIDE,anika.r@email.com,+8801711100027,,Bride's university junior
Mrs.,Jahanara,Islam,BRIDE,jahanara.i@email.com,+8801811100028,Halal,Bride's aunt
Ms.,Sumaiya,Akter,BRIDE,sumaiya.a@email.com,+8801911100029,Vegetarian,Bride's friend
Ms.,Bristy,Mondol,BRIDE,bristy.m@email.com,+8801511100030,,Bride's neighbor
Ms.,Priya,Ghosh,BRIDE,priya.g@email.com,+8801611100031,,Bridesmaid
Mrs.,Lutfun,Nahar,BRIDE,lutfun.n@email.com,+8801711100032,Halal,Bride's relative
